sdc_dealno,date,targetName,acquirorName,URL_found,IdentifiableIntangibleassetsI,Goodwill,totalDealValueFromFiling,TotalIIAifreportedasaggreg,InProcessRD,valuePatents,TrademarksTradenamesBrand,Technology,Workforce,Noncompeteagreements,MaintenanceSupportContracts,CustomerRelationshipscontract,Contractcontractualrights,Cashacquired,Backlog,IntellectualProperty,RoyaltyAgreement,Other,tgt_cik,origACQcik,acq_cik,acq_cik2,acq_cik3,acq_cik4,acq_cik5,RA,Notes,source,url10s_1,TargetCIK,AcquirerCIK,yearDeal,TargetIndustryGroup,AcquirorSICcode,ofOther,ofUnknown,bothGW_IIA_missing,fromRecent,hand_IIA,hand_GW,handChecked_2018
1802016,12/8/2006,JLG Industries Inc,Oshkosh Truck Corp,https://www.sec.gov/Archives/edgar/data/775158/000089706907001093/tse61.htm,982.9,1846.5,3138.1,,0,0,374.9,0,0,0,0,502.1,0,176400000,0,0,0,0,,,0000775158,,,,,Allah,,Post2002collect,,,,2006,Manufacturing,3711,6.15,,0,1,,,0
1802380,1/29/2007,ICOS Corp,Eli Lilly & Co,https://www.sec.gov/Archives/edgar/data/59478/000095013707006697/c14755e10vq.htm,1963.4,628.4,2317.5,,303.5,0,0,1659.9,0,0,0,0,0,0,0,0,0,0,,0000059478,0000059478,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,2834,,,0,1,,,0
1802384,1/8/2007,Pemstar Inc,Benchmark Electronics Inc,https://www.sec.gov/Archives/edgar/data/863436/000110465907038354/a07-11334_110q.htm,17.877,180.049,221.29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000863436,,,,,Allah,,Post2002collect,,,,2007,Manufacturing,3672,,,0,1,,,0
1802401,1/3/2007,Broadwing Corp,Level 3 Communications Inc,https://www.sec.gov/Archives/edgar/data/794323/000110465907038266/a07-10884_110q.htm,254,939,1444,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0000794323,0000794323,,,,,Lincel,,Post2002collect,,,,2007,Manufacturing,4813,,,0,1,,,0
1802895,12/1/2006,Vodavi Technology Inc,Vertical Communications Inc,https://www.sec.gov/Archives/edgar/data/877931/000119312507031730/d10q.htm,11.95,14.023,31.627,,0,0,.6899999999999999,.22,0,0,0,11.04,0,6881000,0,0,0,0,,,0000877931,,,,,Allah,,Post2002collect,,,,2006,Manufacturing,7375,,100,0,1,,,0
1806871,12/29/2006,Sirna Therapeutics Inc,Merck & Co Inc,https://www.sec.gov/Archives/edgar/data/64978/000095012307002918/y30486e10vk.htm,466.2,345.9,1100,,466.2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0000064978,,,,,Allah,,Post2002collect,,,,2006,Manufacturing,2834,,,0,1,,,0
1807113,12/20/2006,Trammell Crow Co,CB Richard Ellis Group Inc,https://www.sec.gov/Archives/edgar/data/1138118/000119312507044383/d10k.htm#tx91334_34,346.468,1215.59,1891.643,,0,0,84,0,0,0,0,220,0,47922000,36.849,0,0,5619000,,,0001138118,,,,,Allah,,Post2002collect,,,,2006,Financial,6531,,,0,1,,,0
1807341,1/9/2007,Banta Corp,RR Donnelley & Sons Co,https://www.sec.gov/Archives/edgar/data/29669/000119312507108426/d10q.htm,38.6,0,1425.1,,0,0,0,0,0,0,0,0,0,38600000,0,0,0,0,,0000029669,0000029669,,,,,Lincel,,Post2002collect,,,,2007,Services,2752,,,0,1,,,0
1807541,3/22/2007,Caremark Rx Inc,CVS Corp,https://www.sec.gov/Archives/edgar/data/64803/000119312507105923/d10q.htm,1942,25274.4,26850.6,,0,0,67,15,0,0,0,1860,0,0,0,0,0,0,,0000064803,0000064803,,,,,Lincel,,Post2002collect,,,,2007,Services,5912,12.16,,0,1,,,0
1809143,12/15/2006,Kos Pharmaceuticals Inc,Abbott Laboratories,https://www.sec.gov/Archives/edgar/data/1800/000110465907013496/a07-1583_110k.htm,2083.000064,1824,3770,,1262,0,0,0,0,0,0,0,0,0,0,0,0,821000000,,0000001800,0000001800,,,,,Lincel,,Post2002collect,,,,2006,Manufacturing,2834,,,0,1,,,0
